source_doc,eval_type,eval_method,variant,score,duration
10,Graph-based,MeMoG,deleted_words_0.3,0.489558,3.3090951442718506
10,Meta,NPowER,deleted_words_0.3,0.464788,3.3090951442718506
10,Embeddings-based,BERTScore,deleted_words_0.3,0.7552029490470886,0.3709855079650879
10,N-gram,Rouge1,deleted_words_0.5,0.6468739084876004,0.0027112960815429688
10,N-gram,Rouge2,deleted_words_0.5,0.4739601537923804,0.0
10,Graph-based,AutoSummENG,deleted_words_0.5,0.342787,2.9792981147766113
10,Graph-based,MeMoG,deleted_words_0.5,0.342787,2.9792981147766113
10,Meta,NPowER,deleted_words_0.5,0.343029,2.9792981147766113
10,Embeddings-based,BERTScore,deleted_words_0.5,0.7197877764701843,0.341754674911499
10,N-gram,Rouge1,deleted_words_0.7,0.4303079416531605,0.015816211700439453
10,N-gram,Rouge2,deleted_words_0.7,0.2789943227899432,0.0
10,Graph-based,AutoSummENG,deleted_words_0.7,0.207165,2.563023567199707
10,Graph-based,MeMoG,deleted_words_0.7,0.207165,2.563023567199707
10,Meta,NPowER,deleted_words_0.7,0.230520,2.563023567199707
10,Embeddings-based,BERTScore,deleted_words_0.7,0.7024682760238647,0.3374176025390625
10,N-gram,Rouge1,deleted_words_0.9,0.14552417424605077,0.003999948501586914
10,N-gram,Rouge2,deleted_words_0.9,0.07666506947771923,0.0
10,Graph-based,AutoSummENG,deleted_words_0.9,0.067147,2.185096502304077
10,Graph-based,MeMoG,deleted_words_0.9,0.067147,2.185096502304077
10,Meta,NPowER,deleted_words_0.9,0.114364,2.185096502304077
10,Embeddings-based,BERTScore,deleted_words_0.9,0.6507443785667419,0.2911691665649414
10,N-gram,Rouge1,inserted_sentence_0.1,0.9111531190926275,0.0
10,N-gram,Rouge2,inserted_sentence_0.1,0.9054373522458629,0.02175307273864746
10,Graph-based,AutoSummENG,inserted_sentence_0.1,0.813001,4.446498394012451
10,Graph-based,MeMoG,inserted_sentence_0.1,0.813001,4.446498394012451
10,Meta,NPowER,inserted_sentence_0.1,0.733109,4.446498394012451
10,Embeddings-based,BERTScore,inserted_sentence_0.1,0.6761971116065979,0.4340629577636719
