source_doc,type,method,variant,score
103,N-gram,Rouge2,102_1,0.23076923076923075
103,Graph-based,AutoSummENG,102_1,0.406256
103,Graph-based,MeMoG,102_1,0.406256
103,Graph-based,NPowER,102_1,0.395682
103,Embeddings-based,BERTScore,102_1,0.7612802982330322
103,N-gram,Rouge1,105_1,0.3448275862068966
103,N-gram,Rouge2,105_1,0.2222222222222222
103,Graph-based,AutoSummENG,105_1,0.402711
103,Graph-based,MeMoG,105_1,0.402711
103,Graph-based,NPowER,105_1,0.392741
103,Embeddings-based,BERTScore,105_1,0.8227034211158752
103,N-gram,Rouge1,106_1,0.35714285714285715
103,N-gram,Rouge2,106_1,0.15384615384615383
103,Graph-based,AutoSummENG,106_1,0.519146
103,Graph-based,MeMoG,106_1,0.519146
103,Graph-based,NPowER,106_1,0.489333
103,Embeddings-based,BERTScore,106_1,0.8374882340431213
103,N-gram,Rouge1,107_1,0.2580645161290323
103,N-gram,Rouge2,107_1,0.13793103448275862
103,Graph-based,AutoSummENG,107_1,0.382093
